ColxCvi_2cell	CvixCol_2cell	unwashed_ColxCvi_8cell	unwashed_CvixCol_8cell	ColxCvi_8cell	CvixCol_8cell	ColxCvi_eg	CvixCol_eg
AT1G01010	2.12	1.33	0.75	0.61	0.13	0	0	0.12
AT1G01020	40.88	14.12	10.35	21.47	21.07	29.85	27.58	37.9
AT1G01030	0.12	0	0	0.08	0	0	0	0
AT1G01040	1.86	2.3	1.33	3.03	1.83	2.84	1.69	3.02
AT1G01046	0	0	0	0	0	0	0	0
AT1G01050	58.2	56.61	110.96	108.84	40.91	70.09	88.91	90.52
AT1G01060	2.54	2.33	1.22	2.6	5.61	5.76	4.1	3.46
AT1G01070	0	0	0	0	0	0	0	0
AT1G01080	11.64	4.99	18.09	44.2	4.04	19.55	26.82	26.05
AT1G01090	86.09	103.95	115.18	149.63	97.75	114.05	154.23	139.32
AT1G01100	4665.18	4694.46	4922.43	4821.41	4804.19	4680.29	4337.31	5152.67
AT1G01110	0.95	0	3.31	15.4	4.68	9.4	17.54	15.25
AT1G01120	7.49	7.39	13.82	14.29	2.97	2.25	8.74	12.92
AT1G01130	0	0.81	2.08	0.42	0	0.67	1.5	0
AT1G01140	3.43	6.15	3.83	6.08	2.87	8.36	8.07	10.15
AT1G01150	2.57	0	0.15	0.11	0.87	0	0.57	0.17
AT1G01160	83.86	96.71	32.45	49.78	42.02	73.23	42.29	76.6
AT1G01170	189.87	228.63	193.8	202.15	250.74	244.99	192.18	251.49
AT1G01180	0	1.16	0.75	0.91	0	0	0.36	0
AT1G01183	0	0	0	0	0	0	0	0
AT1G01190	0	0	0	0	0	0	0	0
AT1G01200	0	0.47	0.3	6.15	0	0	1.59	0.51
AT1G01210	68.71	78.62	81.49	67.04	100.04	56.97	77.42	68.64
AT1G01220	1.87	1.89	1.57	2.03	0.43	1.15	0.55	0.78
AT1G01225	0.84	5.82	3.39	5.54	1.19	1.96	6.67	5.58
AT1G01230	21.86	17.37	13.64	14.23	9.34	7.03	11.29	11.68
AT1G01240	6.14	0.39	1.36	2.33	0.29	1.58	0	0.56
AT1G01250	0.26	0	33	35.89	0	0	0	0.7
AT1G01260	6.88	7.61	4.8	4.96	6.25	8.02	4.36	7.04
AT1G01270	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0.13
AT1G01290	12.56	15.22	7.56	8.87	5.86	8.52	4.89	6.16
AT1G01300	93.73	119.07	92.08	107.51	85.36	61.88	54.61	53.89
AT1G01305	0	0.47	1.52	0	0	0.78	0.58	1.38
AT1G01310	5.81	1.59	7.31	3.24	0.66	1.13	0.38	0
AT1G01320	2.07	2.18	2.4	4.12	1.72	3.94	3.91	5.77
AT1G01335	0	0	0	0	0	0	0	0
AT1G01340	0	0.99	0	0	0.58	0.63	0.13	0
AT1G01350	26.72	35.7	19.62	30.7	19.09	39.03	17.33	33.86
AT1G01355	2.58	0	0.46	0	0	0	0	0
AT1G01360	20.66	10.84	5.55	5.55	3.98	6.36	6.52	6.13
AT1G01370	98.58	99.52	47.86	85.28	71.4	92.63	71.14	92.32
AT1G01380	0	0	0	0	0	0	0	0
AT1G01390	0	0	0	0.08	0	0	0	0
AT1G01400	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0
AT1G01420	0	0	0.82	0.73	0	0	0	0
AT1G01430	9.49	5.78	11.43	9.82	4.04	0.11	0.48	0.38
AT1G01440	4.62	4.93	0.76	2.22	0.96	1.46	0.91	1.72
AT1G01448	3.75	3.13	1.26	1.64	1.85	2.23	0.68	2.96
AT1G01450	0	0	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0	0	0
AT1G01460	2.91	0	0.59	1.76	0	0	0.19	0
AT1G01470	1.83	0.21	3.49	2.74	0	2.6	0	0.76
AT1G01480	6.79	13.62	0.42	0.68	5.72	2.27	3.09	8.56
AT1G01490	4.16	4.69	1.96	3.98	4.1	5.45	4.33	6.54
AT1G01500	4.03	9.52	5.48	4.98	3.33	3.14	1.46	0.69
AT1G01510	26.24	28.6	23.86	30.85	26.77	37.19	21.7	28.05
AT1G01520	0.33	1.89	0	0.66	0	4.32	0.77	0.6
AT1G01530	0	0	3.17	3.19	0	0.31	0.23	0
AT1G01540	10.95	34.79	13.63	11.61	11.39	17.54	6.79	15.87
AT1G01550	31.75	28.52	43.24	43.88	19.23	37.26	50.96	67.44
AT1G01560	0	0	0	0	0	0	0	0
AT1G01570	7.93	9.83	2.86	3.04	2.12	1.6	1.47	1.64
AT1G01580	0	0.21	0	0.17	0.08	0	0	0
